Zipcode,Lat,Long
515004,14.73,77.5734
515731,14.8083,77.539
515002,14.6251,77.539
515766,14.3233,77.0334
515415,14.9609,78.031
515822,14.8363,77.2175
515445,14.8714,77.8596
515001,14.6941,77.5992
515741,14.7421,77.1715
515775,14.9458,77.539
515455,14.9583,77.7681
515465,14.6517,78.0424
515751,14.6151,77.3554
515867,14.6726,76.9528
515763,14.5972,77.0334
515767,14.4697,76.9989
515722,14.5335,77.539
515863,14.5532,76.8606
515425,14.6856,77.8139
515402,15.1926,77.6422
515761,14.5567,77.1255
515787,14.5186,77.2635
515413,15.0334,77.991
515870,15.0264,77.137
515871,14.8716,77.0334
515411,14.869,78.031
515408,15.0576,77.9053
515401,15.132,77.5849
515812,14.9279,77.2175
515701,14.7241,77.6765
515865,14.818,76.8952
515414,14.7845,77.951
515842,15.1057,77.321
515405,15.0114,77.688
515611,14.8979,77.7109
515721,14.5987,77.688
515711,14.7549,77.4013
515765,14.3791,77.2175
515803,15.1581,77.4358
515832,14.9815,77.3554
515005,14.6806,77.6135
515801,15.1542,77.3669
515872,14.9849,76.8144
515774,14.8879,77.5275
515435,14.8207,77.7681
515003,14.6252,77.6479
517425,12.7796,78.4297
517403,13.1086,79.2226
517280,13.5379,78.6342
517124,13.364,79.0758
517415,13.0812,78.5888
517421,13.2034,79.3128
517390,13.8301,78.3046
517432,13.2194,78.6342
517247,13.3538,78.5888
517167,13.2925,79.2677
517401,12.8525,78.5434
517129,13.3343,78.9175
517370,13.6554,78.2248
517424,12.9884,78.5434
517351,13.7411,78.3501
517127,13.2749,79.121
517418,13.8703,78.4297
517416,13.2749,78.8609
517426,12.8069,78.2818
517422,13.1336,79.008
517132,13.0702,79.121
517123,13.5502,78.9062
517423,12.8789,78.3728
517408,13.18,78.7703
517257,13.453,78.7703
517419,13.1631,79.1661
517417,13.3909,78.407
517002,13.1775,79.104
517004,13.2265,79.0532
517126,13.3698,79.2113
517319,13.6357,78.532
517001,13.2239,79.1266
517599,13.2527,79.4029
517131,13.271,79.0306
517130,13.4155,78.9515
517125,13.2323,79.1887
517352,13.6163,78.3615
517429,13.1405,78.9062
517128,13.181,79.0532
517414,13.35,78.759
517391,13.7096,78.1678
517350,13.703,78.5093
517325,13.484,78.4525
516270,14.09,78.7249
516269,14.04,78.6342
516150,14.2442,79.0871
516215,13.957,78.8156
516259,14.2164,78.4979
516193,14.9776,79.0419
516501,14.5656,79.0871
516003,14.4478,78.7816
516001,14.4783,78.8213
516107,14.1129,79.2226
516257,14.1794,78.6796
516105,13.9297,79.2226
516228,14.7934,79.0419
516104,14.2107,79.3578
516203,14.6401,78.7249
516247,14.4398,79.0984
516267,14.0792,78.4979
516227,14.6695,79.0984
516502,14.743,78.9515
516101,13.8203,79.3353
516503,14.8767,78.8609
